0 	 0.000000 
1 	 2501.250732 
2 	 -0.036371 
3 	 833.701111 
4 	 -0.072962 
5 	 500.162476 
6 	 -0.109599 
7 	 357.196106 
8 	 -0.146314 
9 	 277.754120 
10 	 -0.182970 
11 	 227.186661 
12 	 -0.219791 
13 	 192.167053 
14 	 -0.256841 
15 	 166.475952 
16 	 -0.293890 
17 	 146.820801 
18 	 -0.331245 
19 	 131.295700 
20 	 -0.368796 
21 	 118.720413 
22 	 -0.406499 
23 	 108.325233 
24 	 -0.444586 
25 	 99.587051 
26 	 -0.482893 
27 	 92.137474 
28 	 -0.521473 
29 	 85.709709 
30 	 -0.560488 
31 	 80.105957 
